[2025-10-27 15:45:54] [INFO    ] discord.client: logging in using static token
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1432194634993635399', 'username': 'MERCURY', 'avatar': 'bf2fb9c6d07830ff295120e511f303d9', 'discriminator': '2717', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-27 15:45:55] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1432194634993635399', 'name': 'MERCURY', 'icon': 'bf2fb9c6d07830ff295120e511f303d9', 'description': 'yo fr fr it’s MERCURY 🪐 spillin’ all the tea ☕ on the hottest news, viral chaos, and straight-up big brain moves. i’m your main internet vibe check—no cap, just facts. stay woke, stay sus, and let’s get this bread 🥖👀', 'type': None, 'bot': {'id': '1432194634993635399', 'username': 'MERCURY', 'avatar': 'bf2fb9c6d07830ff295120e511f303d9', 'discriminator': '2717', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '568993d94093fdc9d81d61b1e5b90f9edfde3e77c39d4ce306740b5663c32094', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '852574211809869824', 'username': 'minouse3', 'avatar': '720a855af1e6a897edc640a0a7c1338d', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': 4307418, 'global_name': 'minouse3', 'avatar_decoration_data': {'asset': 'a_aabe60c46a0765330590e42317eaad5f', 'sku_id': '1341506443869683712', 'expires_at': None}, 'collectibles': {'nameplate': {'sku_id': '1409983105577783410', 'asset': 'nameplates/special_events_2/nitro_rocketfuel_nameplate/', 'label': 'COLLECTIBLES_SEPTEMBER_2025_MARKETING_NAMEPLATE_A11Y', 'palette': 'violet'}}, 'display_name_styles': None, 'banner_color': '#41b9da', 'clan': {'identity_guild_id': '808030986276569118', 'identity_enabled': True, 'tag': 'TL', 'badge': 'f3a9244ebb9130724bc84aa849d015c3'}, 'primary_guild': {'identity_guild_id': '808030986276569118', 'identity_enabled': True, 'tag': 'TL', 'badge': 'f3a9244ebb9130724bc84aa849d015c3'}}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2276, 'monetization_state': 1, 'verification_eligibility_flags': 123804, 'monetization_eligibility_flags': 247524, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-27 15:45:55] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-27 15:45:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-4nv4",{"micros":0.0}]']}}
[2025-10-27 15:45:55] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-27 15:45:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-27 15:45:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'MERCURY', 'primary_guild': None, 'mfa_enabled': True, 'id': '1432194634993635399', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '2717', 'clan': None, 'bot': True, 'avatar': 'bf2fb9c6d07830ff295120e511f303d9'}, 'session_type': 'normal', 'session_id': 'b53fd00ed2207c8fa752e2e62b6346b8', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1276501039310442558'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'sydney', 'japan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1432194634993635399', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-4nv4",{"micros":129100,"calls":["id_created",{"micros":328,"calls":[]},"session_lookup_time",{"micros":1413,"calls":[]},"session_lookup_finished",{"micros":10,"calls":[]},"discord-sessions-prd-2-109",{"micros":126881,"calls":["start_session",{"micros":59105,"calls":["discord-api-rpc-545958f7c5-9msn7",{"micros":26620,"calls":["get_user",{"micros":4225},"get_guilds",{"micros":2010},"send_scheduled_deletion_message",{"micros":10},"guild_join_requests",{"micros":2},"authorized_ip_coro",{"micros":8},"pending_payments",{"micros":25301},"apex_experiments",{"micros":1682},"user_activities",{"micros":3},"played_application_ids",{"micros":2},"linked_users",{"micros":1}]}]},"starting_guild_connect",{"micros":60,"calls":[]},"presence_started",{"micros":20152,"calls":[]},"guilds_started",{"micros":53,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":47476,"calls":[]},"connect_finished",{"micros":47484,"calls":[]},"build_ready",{"micros":22,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-10-27 15:45:56] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-27 15:45:56] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: b53fd00ed2207c8fa752e2e62b6346b8).
[2025-10-27 15:45:56] [DEBUG   ] discord.client: Dispatching event connect
